Constant,RU,EN
CREATE_HELP,Создаёт парсер,Create scrapper
CREATE_NAME_HELP,Название парсера,Name of scrapper
REMOVE_HELP,Удаляет парсер(ы),Remove parse(s)
REMOVE_NAMES_HELP,Имя(на) удаляемых парсеров,Name(s) of removing scrapper(s)
REMOVE_FORCE_HELP,Пропускает подтверждение действия,Skip insurace
RENAME_HELP,Переименовывает парсер,Rename scrapper
RENAME_OLD_NAME_HELP,Старое название парсера,Old scrapper's name
RENAME_NEW_NAME_HELP,Новое название парсера,New scrapper's name
RENAME_FORCE_HELP,Пропускает подтверждение действия,Skip insurace
RUN_HELP,Запускает парсер,Execute scrapper
RUN_NAME_HELP,Название парсера,Name of scrapper
RUN_ARGUMENTS_HELP,Аргумента передаваемые парсеру,Arguments for scrapper
RUN_DEV_HELP,Запускает разрабатываемую версию парсера,Execute development version of scrapper
CLEAN_LOGS_HELP,Очищает файлы логов,Clean logs
CLEAN_LOGS_SCRAPPERS_HELP,Имена парсеров"," чьи логи будут очищены. Если не указан"," то очищает системные логи. Есл передан all"," то очищает всё,Names of scrapper's logs. If don't mentioned"," cleans main logs. If all cleans logs of all scrappers
CLEAN_LOGS_EXCEPTED_HELP,Названия логов"," которые не будут очищены при указанном -s all
EXPORT_HELP,Экспортирует парсер,Export scrapper
EXPORT_NAME_HELP,Название экспортируемого парсера,Name of exporting scrapper
EXPORT_PATH_HELP,Место экспорта парсера,Destination path for exporting
IMPORT_HELP,Импортирует парсер,Import scrapper
IMPORT_PATH_HELP,Путь к корневому каталогу парсера,Path to root of the package
SCHADULE_HELP,Планирует запуск парсеров,Shadules scrapper's executing
SCHADULE_NAME_HELP,Название запускаемого парсера,Name of executing scrapper
SCHADULE_RELEASE_HELP,Запускаемый релиз парсера,Executing parser release
SCHADULE_FREQUENSY_HELP,Частота запуска парсера,Scrapper's execution frequensy
SCHADULE_TIME_HELP,Время запуска парсера,Scrapper's execution time
TEST_HELP,Тестирует разрабатываемую версию парсера,Test scrapper's developing version
TEST_NAME_HELP,Название парсера,Scrapper's name
RELEASE_HELP,Переводит текущее состояние парсера в релиз,Changes current developing scrapper's state to release
RELEASE_NAME_HELP,Название парсера,Scrapper's name
RELEASE_VERSION_HELP,Версия релиза,Version of release
